STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,PRCP,TAVG,TMAX,TMIN
IN023160900,"DEHRADUN, IN",30.317,78.033,682,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,48.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,55.2
IN023160900,"DEHRADUN, IN",30.317,78.033,682,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,25.0,24.0,57.0,6.698421053,101.0,12.28888889,24.45368421,80.2,95.1,65.3
IN001200200,"VISHAKHAPATNAM, IN",17.717,83.233,3,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.0,27.0,62.98222222,6.698421053,100.0,12.28888889,24.45368421,81.53204554,96.9,71.00517182
IN001160200,"NELLORE, IN",14.45,79.983,20,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,73.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,77.4
IN001160200,"NELLORE, IN",14.45,79.983,20,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,74.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,81.2
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,68.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,76.4
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,72.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,75.8
IN003020100,"TEZPUR, IN",26.617,92.783,79,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,68.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,70.8
IN003020100,"TEZPUR, IN",26.617,92.783,79,2025-05,925.6964286,414.0777778,21.0,15.0,0,0,0,27.54945055,22.34065934,69.0,6.85,101.3626374,12.28888889,19.68,81.53204554,95.03336038,73.2
IN011330900,"SAGAR, IN",23.85,78.75,551,2025-03,757.0,478.0,22.31578947,17.84210526,0,0,0,31.0,29.0,52.0,6.698421053,104.0,0.0,24.45368421,81.0,95.8,66.2
